ekranas	Televizoriaus ar kompiuterio dalis, kurioje matome vaizdą.	screen	The part of a television or a computer on which we see the picture.	Vaikai žiūri filmą dideliame ekrane.	The children watch a film on a big screen.	noun
seansas	Laikas, kai kine rodo vieną filmą.	screening	The time when one film is shown in the cinema.	Į vakaro seansą einame kartu.	To the evening screening we go together.	noun
biblioteka	Vieta, kur imame ir skaitome knygas.	library	A place where we take and read books.	Vaikai skaito knygas bibliotekoje.	The children read books in the library.	noun
knyga	Daug lapų su žodžiais; ją skaitome.	book	Many pages with words; we read it.	Vakare skaitau įdomią knygą.	In the evening I read an interesting book.	noun
pavadinimas	Žodžiai knygos ar filmo pradžioje.	title	The words at the beginning of a book or a film.	Knygos pavadinimas yra trumpas.	The book's title is short.	noun
autorius	Žmogus, kuris parašė knygą, dainą ar straipsnį.	author	A person who has written a book, a song or an article.	Bibliotekoje kalbėjome su autoriumi.	In the library we spoke with the author.	noun
puslapis	Viena knygos dalis su numeriu.	page	One part of a book with a number.	Skaitau penktą puslapį.	I read the fifth page.	noun
mokytis	Kai žmogus skaito ir kartoja naujus dalykus.	to learn	When a person reads and repeats new things.	Vaikai mokosi rašyti mokykloje.	The children learn to write at school.	verb
išmokti	Kai ilgai kartoji ir vieną dieną jau gali tai daryti pats.	to learn (master)	When you repeat for a long time and one day can already do it yourself.	Vaikas išmoko skaityti.	The child learned to read.	verb
studijuoti	Mokytis universitete ir laikyti egzaminus.	to study	To learn at a university and take exams.	Brolis studijuoja Vilniaus universitete.	The brother studies at Vilnius university.	verb
futbolas	Žaidimas, kai kamuolį spardo kojomis.	football	A game in which the ball is kicked with the feet.	Berniukai žaidžia futbolą kieme.	The boys play football in the yard.	noun
krepšinis	Žaidimas, kai kamuolį meta rankomis.	basketball	A game in which the ball is thrown with the hands.	Lietuvoje visi mėgsta krepšinį.	In Lithuania everybody likes basketball.	noun
