vidurnaktis	Dvylikta valanda, kai tamsu ir visi miega.	midnight	The twelfth hour, when it is dark and everyone sleeps.	Grįžome namo po vidurnakčio.	We returned home after midnight.	noun
vidurys	Vieta tarp pradžios ir pabaigos.	middle	A place between the beginning and the end.	Kambario viduryje stovi stalas.	In the middle of the room stands a table.	noun
vidutinis	Ne didelis ir ne mažas; paprastas.	average	Not big and not small; ordinary.	Jis yra vidutinio ūgio.	He is of average height.	adj
vienas	Pirmas ir mažiausias skaičius; ne du.	one	The first and smallest number; not two.	Turiu tik vieną brolį.	I have only one brother.	adj
vienuoliktas	Toks, kuris eina po dešimto.	eleventh	One that comes after the tenth.	Mes gyvename vienuoliktame aukšte.	We live on the eleventh floor.	adj
vietininkas	Žodžio forma, kuri rodo, kur kas yra.	locative case	A word form that shows where something is.	Šiame sakinyje reikia vietininko.	In this sentence the locative case is needed.	noun
virėjas	Žmogus, kuris restorane kepa maistą.	cook	A person who cooks food in a restaurant.	Kalbėjome su restorano virėju.	We spoke with the restaurant cook.	noun
višta	Naminis gyvūnas, kuris deda kiaušinius.	hen	A domestic animal that lays eggs.	Kieme vaikščioja vištos.	In the yard walk hens.	noun
vištiena	Ne kiauliena ir ne jautiena; balta, lengva mėsa.	chicken meat	Not pork and not beef; white, light meat.	Šiandien valgome keptą vištieną.	Today we eat roasted chicken meat.	noun
viščiukas	Labai mažas geltonas gyvūnas iš kiaušinio.	chick	A very small yellow animal from an egg.	Vaikai žiūri į mažus viščiukus.	The children look at the little chicks.	noun
vokietis	Vyras iš Vokietijos.	German	A man from Germany.	Autobuse susipažinau su vokiečiu.	In the bus I got acquainted with a German.	noun
vokietė	Moteris iš Vokietijos.	German woman	A woman from Germany.	Kaune sutikau jauną vokietę.	In Kaunas I met a young German woman.	noun
voveraitė	Geltona ir maža; ją randame, kai einame grybauti.	chanterelle	Yellow and small; we find it when we go mushrooming.	Miške radome daug voveraičių.	In the forest we found many chanterelles.	noun
vyšnia	Mažas raudonas vaisius; auga ant medžio.	cherry	A small red fruit; grows on a tree.	Valgome saldžias vyšnias.	We eat sweet cherries.	noun
vėliava	Geltona, žalia ir raudona medžiaga – Lietuvos ženklas.	flag	Yellow, green and red cloth — the sign of Lithuania.	Šventėje matėme daug vėliavų.	At the celebration we saw many flags.	noun
vėluoti	Nebūti laiku; visi jau laukia.	to be late	To not be on time; everyone is already waiting.	Autobusas šiandien vėluoja.	The bus today is late.	verb
vėlus	Toks laikas, kai jau tamsu; ne ankstus.	late	Such a time when it is already dark; not early.	Skambinu draugui vėlų vakarą.	I phone a friend late in the evening.	adj
vėsus	Ne šiltas ir ne šaltas; toks kaip ruduo.	cool	Not warm and not cold; such as autumn.	Rudenį dienos yra vėsios.	In autumn the days are cool.	adj
ąsotis	Iš jo pilame pieną ar sultis į stiklinę.	jug	From it we pour milk or juice into a glass.	Pienas stovi ąsotyje ant stalo.	The milk stands in the jug on the table.	noun
ąžuolas	Labai didelis ir stiprus medis; auga miške.	oak	A very big and strong tree; grows in the forest.	Sėdime po dideliu ąžuolu.	We sit under a big oak.	noun
čekas	Vyras iš Čekijos.	Czech	A man from Czechia.	Kalbėjau su čeku apie darbą.	I spoke with a Czech about work.	noun
čekė	Moteris iš Čekijos.	Czech woman	A woman from Czechia.	Parduotuvėje mačiau čekę.	In the shop I saw a Czech woman.	noun
čiuožti	Žiemą greitai važiuoti ant ledo.	to skate	In winter to travel fast on the ice.	Vaikai čiuožia ant ežero ledo.	The children skate on the ice of the lake.	verb
čiuožykla	Vieta žiemą, kur vaikai važiuoja ant ledo.	ice rink	A place in winter where children travel on the ice.	Žiemą einame į čiuožyklą.	In winter we go to the ice rink.	noun
įdomus	Toks, kurį gera skaityti ar žiūrėti; ne nuobodus.	interesting	One that is good to read or watch; not boring.	Skaitau labai įdomią knygą.	I read a very interesting book.	adj
įkurtuvės	Šventė naujame bute su draugais ir dovanomis.	housewarming	A party in a new flat with friends and gifts.	Rytoj einame į kaimynų įkurtuves.	Tomorrow we go to the neighbours' housewarming.	noun
įnagininkas	Žodžio forma: rašau pieštuku, važiuoju autobusu.	instrumental case	A word form: I write with a pencil, I travel by bus.	Mokytoja aiškina apie įnagininką.	The teacher explains about the instrumental case.	noun
šachmatai	Ramus žaidimas su juodais ir baltais daiktais.	chess	A quiet game with black and white pieces.	Senelis moko mane žaisti šachmatais.	Grandfather teaches me to play chess.	noun
šaka	Ilga medžio dalis su lapais.	branch	A long part of a tree with leaves.	Ant šakos auga obuolys.	On the branch grows an apple.	noun
šaldytuvas	Jame virtuvėje laikome pieną, sviestą ir mėsą.	refrigerator	In it in the kitchen we keep milk, butter and meat.	Mama padėjo sviestą į šaldytuvą.	Mother put the butter into the refrigerator.	noun
šalikas	Ilgas šiltas drabužis ant kaklo žiemą.	scarf	A long warm garment on the neck in winter.	Sesuo žiemą nešioja raudoną šaliką.	The sister in winter wears a red scarf.	noun
šalis	Didelė vieta su savo vėliava ir kalba.	country	A big place with its own flag and language.	Gyvenu gražioje šalyje.	I live in a beautiful country.	noun
šaltibarščiai	Raudona vasaros sriuba su agurkais ir grietine.	cold borscht	A red summer soup with cucumbers and sour cream.	Vasarą valgome šaltibarščius.	In summer we eat cold borscht.	noun
šauksmininkas	Žodžio forma, kai sakome kito žmogaus vardą.	vocative case	A word form when we say another person's name.	Egzamine buvo klausimas apie šauksmininką.	In the exam there was a question about the vocative case.	noun
šepetys	Su juo valome batus ar plauname indus.	brush	With it we clean shoes or wash dishes.	Valau batus šepečiu.	I clean the shoes with a brush.	noun
šešioliktas	Toks, kuris eina po penkiolikto.	sixteenth	One that comes after the fifteenth.	Šventė bus šešioliktą dieną.	The party will be on the sixteenth day.	adj
šeštadienis	Savaitgalio pradžia; po penktadienio, prieš sekmadienį.	Saturday	The beginning of the weekend; after Friday, before Sunday.	Šeštadienį einame į turgų.	On Saturday we go to the market.	noun
šeštas	Toks, kuris eina po penkto.	sixth	One that comes after the fifth.	Sesuo mokosi šeštoje klasėje.	Sister studies in the sixth class.	adj
šiaurė	Ta pusė, kur yra Latvija, ne Lenkija.	north	The side where Latvia is, not Poland.	Latvija yra į šiaurę nuo Lietuvos.	Latvia is to the north of Lithuania.	noun
šiltas	Ne šaltas; toks kaip vasaros vanduo.	warm	Not cold; such as summer water.	Žiemą reikia šiltų drabužių.	In winter one needs warm clothes.	adj
šiukšlės	Tai, ko nebereikia; dedame į kiemo dėžę.	rubbish, trash	That which is no longer needed; we put it in the yard bin.	Kieme stovi dėžė šiukšlėms.	In the yard stands a bin for rubbish.	noun
šlapias	Toks, ant kurio yra vanduo; ne sausas.	wet	One that has water on it; not dry.	Vaikas grįžo su šlapiais drabužiais.	The child returned with wet clothes.	adj
šluota	Ilgas medinis daiktas; su juo valome grindis.	broom	A long wooden thing; with it we clean the floor.	Močiutė valo kiemą šluota.	Grandmother cleans the yard with a broom.	noun
šluoti	Valyti kiemą ar grindis dideliu šepečiu.	to sweep	To clean the yard or the floor with a big brush.	Rytais šluoju kiemą.	In the mornings I sweep the yard.	verb
