nešioti	Turėti drabužius ar akinius ant kūno.	to wear	To have clothes or glasses on the body.	Sesuo nešioja naujus akinius.	The sister wears new glasses.	verb
tikti	Būti tokio dydžio, kokio reikia.	to fit	To be of the size that is needed.	Nauji batai man tinka.	New shoes fit me.	verb
mada	Drabužiai ir daiktai, kurie dabar patinka žmonėms.	fashion	Clothes and things that people now like.	Ilgi sijonai grįžo į madą.	Long skirts have returned to fashion.	noun
madingas	Toks, kurį dabar perka ir nešioja jauni žmonės.	fashionable	One that young people now buy and wear.	Draugė turi madingą striukę.	The friend has a fashionable jacket.	adj
indai	Lėkštės ir puodukai, kuriuos plauname po valgio.	dishes	Plates and cups, which we wash after the meal.	Po vakarienės plaunu indus.	After supper I wash the dishes.	noun
lėkštė	Baltas apvalus indas, ant kurio dedame maistą.	plate	A white round vessel on which we put food.	Ant lėkštės guli šilta mėsa.	On the plate lies warm meat.	noun
puodukas	Iš jo geriame karštą arbatą ar kavą.	cup	From it we drink hot tea or coffee.	Mama pila arbatą į puoduką.	Mother pours tea into the cup.	noun
stiklinė	Iš jos geriame šaltą vandenį ar pieną.	glass	From it we drink cold water or milk.	Ji geria vandenį iš stiklinės.	She drinks water from the glass.	noun
taurė	Gražus aukštas indas vynui; iš jo geriame per šventes.	wine glass	A beautiful tall vessel for wine; from it we drink at celebrations.	Svečiai geria iš gražių taurių.	The guests drink from beautiful wine glasses.	noun
arbatinukas	Iš jo pila arbatą į puodukus.	teapot	From it tea is poured into cups.	Svečiams nešu arbatinuką ir puodukus.	To the guests I carry the teapot and cups.	noun
peilis	Aštrus daiktas; juo pjaustome duoną ir mėsą.	knife	A sharp thing; with it we cut bread and meat.	Duoną pjaustau aštriu peiliu.	Bread I cut with a sharp knife.	noun
šakutė	Ja valgome mėsą ir salotas prie stalo.	fork	With it we eat meat and salad at the table.	Vaikas valgo mėsą šakute.	The child eats meat with a fork.	noun
šaukštas	Juo valgome sriubą ir košę.	spoon	With it we eat soup and porridge.	Sriubą valgau dideliu šaukštu.	Soup I eat with a big spoon.	noun
šaukštelis	Labai mažas daiktas cukrui maišyti arbatoje.	teaspoon	A very small thing for stirring sugar in tea.	Ji maišo kavą šaukšteliu.	She stirs coffee with a teaspoon.	noun
puodas	Jame verdame sriubą ant viryklės.	pot	In it we boil soup on the cooker.	Sriuba verda dideliame puode.	The soup boils in a big pot.	noun
samtis	Didelis šaukštas sriubai pilti į lėkštes.	ladle	A big spoon for pouring soup into plates.	Mama pila sriubą samčiu.	Mother pours soup with the ladle.	noun
virdulys	Jame vanduo greitai tampa karštas arbatai.	kettle	In it water quickly becomes hot for tea.	Įjunk virdulį, noriu arbatos.	Turn on the kettle, I want tea.	noun
keptuvė	Joje darome kiaušinienę ant viryklės.	frying pan	In it we make fried eggs on the cooker.	Kiaušinienę darau didelėje keptuvėje.	I make fried eggs in a big frying pan.	noun
butelis	Aukštas indas iš stiklo vandeniui ar pienui.	bottle	A tall vessel of glass for water or milk.	Vaikas geria pieną iš butelio.	The child drinks milk from the bottle.	noun
atidarytuvas	Mažas daiktas; juo atidarome limonado ar alaus butelį.	bottle opener	A small thing; with it we open a lemonade or beer bottle.	Kur padėjai atidarytuvą?	Where did you put the bottle opener?	noun
kamščiatraukis	Su juo atidarome vyno butelį per šventę.	corkscrew	With it we open a wine bottle at a celebration.	Ant stalo guli senas kamščiatraukis.	On the table lies an old corkscrew.	noun
stiklainis	Jame laikome uogienę ar agurkus.	jar	In it we keep jam or cucumbers.	Močiutė atidarė uogienės stiklainį.	Grandmother opened the jam jar.	noun
dubuo	Didelis apvalus indas salotoms ar sriubai.	bowl	A big round vessel for salad or soup.	Mama deda salotas į dubenį.	Mother puts the salad into the bowl.	noun
degtukai	Maži mediniai daiktai dėžutėje; su jais kuriame laužą.	matches	Small wooden things in a box; with them we make a bonfire.	Be degtukų laužo nebus.	Without matches there will be no bonfire.	noun
staltiesė	Graži balta medžiaga po lėkštėmis per šventes.	tablecloth	A beautiful white cloth under the plates at celebrations.	Vaza stovi ant baltos staltiesės.	The vase stands on the white tablecloth.	noun
servetėlė	Popierius, kuriuo valome burną po valgio.	napkin	A paper with which we clean the mouth after the meal.	Vaikai valo rankas servetėlėmis.	The children clean their hands with napkins.	noun
vaza	Indas su vandeniu gėlėms ant stalo.	vase	A vessel with water for flowers on the table.	Rožės stovi gražioje vazoje.	The roses stand in a beautiful vase.	noun
tušinukas	Paprastas daiktas, kuriuo rašome mėlynai ar juodai.	pen	A simple thing with which we write in blue or black.	Pasirašyk tušinuku, ne pieštuku.	Sign with a pen, not with a pencil.	noun
flomasteris	Storas daiktas piešti; jo spalvos labai ryškios.	marker	A thick thing for drawing; its colours are very bright.	Vaikai piešia flomasteriais.	The children draw with markers.	noun
parkeris	Brangus ir gražus daiktas, kuriuo pasirašome sutartis.	fountain pen	An expensive and beautiful thing with which we sign contracts.	Direktorius pasirašė sutartį parkeriu.	The director signed the contract with a fountain pen.	noun
pieštukas	Medinis daiktas; juo rašo mokiniai mokykloje.	pencil	A wooden thing; with it pupils write at school.	Vaikas laiko rankoje geltoną pieštuką.	The child holds in the hand a yellow pencil.	noun
lapas	Žalia medžio dalis; rudenį jis krenta ant žemės.	leaf	A green part of a tree; in autumn it falls to the ground.	Vaikai renka geltonus lapus parke.	The children collect yellow leaves in the park.	noun
