gultis	Vakare eiti į lovą ir miegoti.	to lie down	In the evening to go to bed and sleep.	Vaikai gulasi devintą valandą.	The children lie down at nine o'clock.	verb	08-sveikata-ir-higiena
padaryti	Daryti darbą iki galo, kad jis būtų baigtas.	to do	To do work to the end, so that it would be finished.	Jis padarė namų darbus.	He did the homework.	verb	08-sveikata-ir-higiena
atidaryti	Traukti duris, kad žmonės galėtų eiti į kambarį.	to open	To pull the door so that people could go into the room.	Ji atidaro langą ryte.	She opens the window in the morning.	verb	08-sveikata-ir-higiena
uždaryti	Stumti duris ar langą, kad kambaryje būtų šilta.	to close	To push the door or window so that in the room it would be warm.	Vakare uždarome langus.	In the evening we close the windows.	verb	08-sveikata-ir-higiena
duoti	Dėti daiktą į kito žmogaus ranką.	to give	To put a thing into another person's hand.	Mama duoda vaikui obuolį.	Mother gives the child an apple.	verb	08-sveikata-ir-higiena
imti	Kelti daiktą nuo stalo į savo ranką.	to take	To lift a thing from the table into your own hand.	Vaikas ima obuolį nuo stalo.	The child takes an apple from the table.	verb	08-sveikata-ir-higiena
pjauti	Peiliu daryti gabalus iš duonos ar mėsos.	to cut	With a knife to make pieces from bread or meat.	Mama pjauna duoną peiliu.	Mother cuts bread with a knife.	verb	08-sveikata-ir-higiena
kirpti	Žirklėmis daryti kito žmogaus plaukus trumpus.	to cut (with scissors)	With scissors to make another person's hair short.	Mama kerpa vaikui plaukus.	Mother cuts the child's hair.	verb	08-sveikata-ir-higiena
mesti	Ranka siųsti kamuolį per orą.	to throw	By hand to send a ball through the air.	Berniukas meta kamuolį draugui.	The boy throws the ball to a friend.	verb	08-sveikata-ir-higiena
jungti	Dėti dalis kartu, kad iš jų būtų vienas daiktas.	to connect	To put parts together so that from them there would be one thing.	Mokytojas jungia sakinius į vieną.	The teacher connects sentences into one.	verb	08-sveikata-ir-higiena
rakinti	Uždaryti duris, kad būtų saugu nuo vagių.	to lock	To close the door so that it would be safe from thieves.	Vakare tėvas rakina duris.	In the evening father locks the door.	verb	08-sveikata-ir-higiena
pamoka	Laikas klasėje, kai vaikai skaito ir rašo.	lesson	Time in the classroom when children read and write.	Per pamoką rašome sakinius.	During the lesson we write sentences.	noun	09-svietimas-ir-mokslas
paskaita	Universitete profesorius kalba, o studentai klauso.	lecture	At the university a professor speaks, and the students listen.	Studentai eina į paskaitą.	The students go to the lecture.	noun	09-svietimas-ir-mokslas
kursai	Pamokos vakare, kur žmonės mokosi naujos kalbos.	course	Lessons in the evening where people learn a new language.	Ji lanko anglų kalbos kursus.	She attends English language courses.	noun	09-svietimas-ir-mokslas
mokinys	Vaikas, kuris eina į pamokas ir rašo namų darbus.	pupil	A child who goes to lessons and writes homework.	Mokytojas kalba su mokiniu.	The teacher speaks with the pupil.	noun	09-svietimas-ir-mokslas
studentas	Jaunas žmogus, kuris mokosi universitete.	student	A young person who studies at the university.	Universitete mokosi daug studentų.	At the university study many students.	noun	09-svietimas-ir-mokslas
pažymys	Skaičius, kurį mokytojas rašo už darbą.	grade	A number that the teacher writes for the work.	Gavau gerą pažymį iš matematikos.	I got a good grade in mathematics.	noun	09-svietimas-ir-mokslas
universitetas	Mokykla, kur jauni žmonės mokosi profesijos.	university	A school where young people learn a profession.	Ji studijuoja universitete.	She studies at the university.	noun	09-svietimas-ir-mokslas
klasė	Kambarys mokykloje, kur vaikai turi pamokas.	classroom	A room at school where children have lessons.	Mokiniai sėdi klasėje prie stalų.	The pupils sit in the classroom by the tables.	noun	09-svietimas-ir-mokslas
kursas	Vieni metai universitete – pirmas, antras ar trečias.	year (of study)	One year at the university — first, second or third.	Ji mokosi trečiame kurse.	She studies in the third year.	noun	09-svietimas-ir-mokslas
semestras	Pusė metų universitete; po jo yra egzaminai.	semester	Half a year at the university; after it there are exams.	Po semestro studentai ilsisi.	After the semester students rest.	noun	09-svietimas-ir-mokslas
trimestras	Viena iš trijų mokslo metų dalių; po jos yra atostogos.	trimester	One of the three parts of the school year; after it there are holidays.	Po pirmo trimestro vaikai ilsisi.	After the first trimester the children rest.	noun	09-svietimas-ir-mokslas
auklėtojas	Mokytojas, kuris dirba tik su viena klase.	class teacher	A teacher who works only with one class.	Mokiniai kalbėjo su auklėtoju.	The pupils spoke with the class teacher.	noun	09-svietimas-ir-mokslas
auklė	Moteris, kuri dirba namuose su mažais vaikais.	nanny	A woman who works at home with small children.	Tėvai kviečia auklę.	The parents invite a nanny.	noun	09-svietimas-ir-mokslas
biologija	Dalykas mokykloje apie gyvūnus ir augalus.	biology	A subject at school about animals and plants.	Biologijos pamoka man patinka.	The biology lesson pleases me.	noun	09-svietimas-ir-mokslas
fizika	Dalykas mokykloje apie elektrą, šviesą ir vandenį.	physics	A subject at school about electricity, light and water.	Fizikos pamoka yra sunki.	The physics lesson is hard.	noun	09-svietimas-ir-mokslas
geografija	Dalykas mokykloje apie šalis, upes ir kalnus.	geography	A subject at school about countries, rivers and mountains.	Geografijos pamokoje žiūrime žemėlapį.	In the geography lesson we look at a map.	noun	09-svietimas-ir-mokslas
istorija	Dalykas mokykloje apie senus laikus ir karus.	history	A subject at school about old times and wars.	Per istorijos pamoką kalbėjome apie karą.	During the history lesson we spoke about a war.	noun	09-svietimas-ir-mokslas
kalba	Žodžiai, kuriuos vartoja vienos šalies žmonės.	language	Words that people of one country use.	Mokausi lietuvių kalbos.	I learn the Lithuanian language.	noun	09-svietimas-ir-mokslas
literatūra	Knygos ir eilėraščiai, kuriuos rašo autoriai.	literature	Books and poems that authors write.	Literatūros knygos yra įdomios.	The literature books are interesting.	noun	09-svietimas-ir-mokslas
matematika	Dalykas mokykloje apie skaičius; ten daug skaičiuojame.	mathematics	A subject at school about numbers; there we count a lot.	Per matematikos pamoką rašome pratimus.	During the mathematics lesson we write exercises.	noun	09-svietimas-ir-mokslas
vadovėlis	Knyga, iš kurios mokiniai mokosi pamokas.	textbook	A book from which pupils learn lessons.	Mokiniai skaito vadovėlį.	The pupils read the textbook.	noun	09-svietimas-ir-mokslas
sąsiuvinis	Knyga su tuščiais lapais, kur mokiniai rašo.	notebook	A book with empty pages where pupils write.	Rašau namų darbus sąsiuvinyje.	I write homework in the notebook.	noun	09-svietimas-ir-mokslas
pratimas	Mažas darbas vadovėlyje, kurį reikia rašyti.	exercise	A small work in the textbook which must be written.	Mokiniai rašo pratimus sąsiuvinyje.	The pupils write exercises in the notebook.	noun	09-svietimas-ir-mokslas
užduotis	Darbas, kurį kas nors duoda tau padaryti.	task	Work that somebody gives you to do.	Mokytojas davė sunkią užduotį.	The teacher gave a hard task.	noun	09-svietimas-ir-mokslas
pavyzdys	Vienas sakinys, kuris rodo, kaip reikia daryti.	example	One sentence that shows how it must be done.	Mokytoja parodė gerą pavyzdį.	The teacher showed a good example.	noun	09-svietimas-ir-mokslas
aiškinti	Kalbėti taip, kad kitas žmogus suprastų.	to explain	To speak so that another person would understand.	Mokytojas aiškina sunkią užduotį.	The teacher explains a hard task.	verb	09-svietimas-ir-mokslas
skaičiuoti	Sakyti, kiek yra daiktų ar žmonių.	to count	To say how many things or people there are.	Vaikai skaičiuoja obuolius.	The children count apples.	verb	09-svietimas-ir-mokslas
žymėti	Rašyti ženklą ant popieriaus ar žemėlapio.	to mark	To write a sign on paper or on a map.	Mokytojas žymi klaidas sąsiuvinyje.	The teacher marks mistakes in the notebook.	verb	09-svietimas-ir-mokslas
egzaminas	Sunkus darbas metų pabaigoje mokykloje ar universitete.	exam	Hard work at the end of the year at school or university.	Rytoj laikysiu matematikos egzaminą.	Tomorrow I will take the mathematics exam.	noun	09-svietimas-ir-mokslas
laikyti	Turėti daiktą rankose; neleisti jam kristi.	to hold	To have a thing in the hands; not to let it fall.	Vaikas laiko rankoje obuolį.	The child holds an apple in the hand.	verb	09-svietimas-ir-mokslas
išlaikyti	Baigti egzaminą gerai ir gauti gerą pažymį.	to pass	To finish the exam well and get a good grade.	Studentas išlaikė sunkų egzaminą.	The student passed a hard exam.	verb	09-svietimas-ir-mokslas
testas	Trumpas darbas klasėje su daug klausimų.	test	A short work in the classroom with many questions.	Šiandien rašėme sunkų testą.	Today we wrote a hard test.	noun	09-svietimas-ir-mokslas
sesija	Laikas universitete, kai studentai laiko egzaminus.	exam session	The time at the university when students take exams.	Per sesiją studentai mažai miega.	During the exam session students sleep little.	noun	09-svietimas-ir-mokslas
diplomas	Popierius, kurį gauni, kai baigi universitetą.	diploma	A paper that you get when you finish the university.	Sesuo gavo diplomą.	The sister got a diploma.	noun	09-svietimas-ir-mokslas
žodis	Trumpa kalbos dalis; iš jų darome sakinius.	word	A short part of language; from them we make sentences.	Mokinys kartoja naują žodį.	The pupil repeats a new word.	noun	09-svietimas-ir-mokslas
žodynas	Stora knyga, kuri padeda versti iš kitos kalbos.	dictionary	A thick book that helps to translate from another language.	Naujus žodžius randu žodyne.	New words I find in the dictionary.	noun	09-svietimas-ir-mokslas
sakinys	Keli žodžiai kartu; juos rašome ir suprantame.	sentence	Several words together; we write them and understand them.	Rašyk sakinį apie vasarą.	Write a sentence about summer.	noun	09-svietimas-ir-mokslas
reikšti	Kai žodis ar ženklas rodo daiktą.	to mean	When a word or a sign shows a thing.	Šis ženklas reiškia stotelę.	This sign means a bus stop.	verb	09-svietimas-ir-mokslas
tarti	Sakyti žodį taip, kad žmonės gerai girdėtų.	to pronounce	To say a word so that people would hear well.	Mokytoja taria naują žodį.	The teacher pronounces a new word.	verb	09-svietimas-ir-mokslas
