siūlė	Vieta ant drabužio, kur du medžiagos gabalai yra kartu.	seam	A place on a garment where two pieces of fabric are together.	Mama siuva kelnių siūlę.	Mother sews the trousers' seam.	noun
skanus	Toks, kurį gera valgyti; maistas labai patinka.	delicious	One that is good to eat; the food pleases very much.	Restorane valgėme skanią žuvį.	In the restaurant we ate delicious fish.	adj
skara	Šilta medžiaga, kurią moteris užsideda ant galvos ar pečių.	headscarf	A warm cloth which a woman puts on her head or shoulders.	Močiutė nešioja juodą skarą.	Grandmother wears a black headscarf.	noun
skausmas	Kai kūnui blogai, nes žmogus serga ar susižeidė.	pain	When the body feels bad, because a person is ill or got hurt.	Vaistai nuo skausmo padeda greitai.	Medicine for pain helps quickly.	noun
skola	Pinigai, kuriuos reikia grąžinti kitam žmogui.	debt	Money which must be returned to another person.	Jis grąžino skolą draugui.	He returned the debt to a friend.	noun
skrandis	Kūno dalis pilvo viduje, kurioje virškinamas maistas.	stomach	A part of the body inside the belly, in which food is digested.	Man skauda skrandį, nes suvalgiau per daug.	My stomach hurts because I ate too much.	noun
skruostas	Veido dalis po akimi, prie nosies.	cheek	A part of the face below the eye, by the nose.	Vaiko skruostai buvo raudoni.	The child's cheeks were red.	noun
skrybėlė	Gražus daiktas ant galvos nuo saulės ar lietaus.	hat	A beautiful thing on the head against the sun or the rain.	Ponia nešioja didelę skrybėlę.	The lady wears a big hat.	noun
skubėti	Eiti ar dirbti labai greitai, nes mažai laiko.	to hurry	To go or work very fast, because there is little time.	Rytais visada skubu į darbą.	In the mornings I always hurry to work.	verb
skusti	Daryti veidą be barzdos; vyrai tai daro ryte.	to shave	To make the face without a beard; men do this in the morning.	Tėvas skuta barzdą kas rytą.	Father shaves the beard every morning.	verb
skyrius	Knygos dalis su savo pavadinimu.	chapter	A part of a book with its own title.	Šiame skyriuje yra daug nuotraukų.	In this chapter there are many photographs.	noun
slidus	Toks kelias ar grindys, kur lengva kristi.	slippery	Such a road or floor where it is easy to fall.	Po lietaus laiptai buvo slidūs.	After the rain the stairs were slippery.	adj
slyva	Mėlynas saldus vaisius; auga sode.	plum	A blue sweet fruit; it grows in the garden.	Vaikai valgo saldžias slyvas.	The children eat sweet plums.	noun
smakras	Veido dalis po burna.	chin	A part of the face below the mouth.	Berniukas susižeidė smakrą.	The boy hurt his chin.	noun
smegenys	Kūno dalis galvoje; su ja galvojame ir mokomės.	brain	A part of the body in the head; with it we think and learn.	Vaistai padeda smegenims dirbti.	Medicine helps the brain to work.	noun
sodas	Vieta prie namo, kur auga obelys ir gėlės.	garden	A place by the house where apple trees and flowers grow.	Vasarą dirbame sode.	In summer we work in the garden.	noun
sodyba	Senas namas kaime su daržu ir gyvūnais.	farmstead	An old house in the village with a vegetable garden and animals.	Vasarą gyvename senoje sodyboje.	In summer we live in an old farmstead.	noun
spalis	Dešimtas metų mėnuo; tada lapai geltoni.	October	The tenth month of the year; then the leaves are yellow.	Mano gimtadienis yra spalį.	My birthday is in October.	noun
spintelė	Mažas baldas virtuvėje, kur laikome puodus.	cupboard	A small piece of furniture in the kitchen where we keep pots.	Puodukai stovi spintelėje.	The cups stand in the cupboard.	noun
sportininkas	Žmogus, kuris bėgioja ar žaidžia varžybose.	athlete	A person who runs or plays in competitions.	Sportininkai bėga stadione.	The athletes run in the stadium.	noun
spurga	Apvalus saldus pyragas su uogiene.	doughnut	A round sweet cake with jam.	Vaikai valgo spurgas su arbata.	The children eat doughnuts with tea.	noun
statyti	Daryti naują namą iš akmenų ir medžio.	to build	To make a new house from stones and wood.	Darbininkai stato naują mokyklą.	The workers build a new school.	verb
stengtis	Norėti padaryti gerai ir daug dirbti.	to try	To want to do well and to work a lot.	Mokinys stengiasi gerai išlaikyti egzaminą.	The pupil tries to pass the exam well.	verb
stogas	Namo viršus; ten krinta lietus ir sniegas.	roof	The top of the house; there rain and snow fall.	Ant stogo guli sniegas.	On the roof lies snow.	noun
suktis	Greitai eiti ratu vienoje vietoje.	to spin	To go quickly in a circle in one place.	Vaikai sukasi ratu kieme.	The children spin in a circle in the yard.	verb
sultys	Tai geriame; darome iš obuolių ar apelsinų.	juice	We drink this; we make it from apples or oranges.	Vaikams patinka obuolių sultys.	Children like apple juice.	noun
sumokėti	Duoti pinigus už daiktą parduotuvėje.	to pay	To give money for a thing in the shop.	Jis sumokėjo už kavą.	He paid for the coffee.	verb
sunkus	Toks daiktas, kurio negali kelti vaikas; ne lengvas.	heavy	Such a thing which a child cannot lift; not light.	Vyras neša sunkų krepšį.	The man carries a heavy bag.	adj
suomis	Vyras iš Suomijos.	Finn	A man from Finland.	Kalbėjau su suomiu apie žiemą.	I spoke with a Finn about winter.	noun
susitikimas	Kai du žmonės susitaria ir ateina į tą pačią vietą.	meeting	When two people agree and come to the same place.	Rytoj turiu susitikimą su drauge.	Tomorrow I have a meeting with a friend.	noun
susitikti	Eiti į vieną vietą ir matyti draugą.	to meet	To go to one place and see a friend.	Rytoj susitiksime kavinėje.	Tomorrow we will meet in the cafe.	verb
sutartis	Popierius, kurį pasirašo du žmonės dėl darbo.	contract	A paper which two people sign about work.	Pasirašėme naują sutartį.	We signed a new contract.	noun
svajoti	Ilgai galvoti apie tai, ko labai nori.	to dream	To think for a long time about what one wants very much.	Vaikas svajoja apie dviratį.	The child dreams about a bicycle.	verb
sveikinti	Sakyti gerus žodžius, kai matai žmogų.	to greet	To say good words when you see a person.	Mokytojas sveikina mokinius ryte.	The teacher greets the pupils in the morning.	verb
sviestas	Geltonas maistas iš pieno; jį dedame ant duonos.	butter	Yellow food from milk; we put it on bread.	Vaikas valgo duoną su sviestu.	The child eats bread with butter.	noun
svogūnas	Aštrus baltas augalas iš daržo; dedame į sriubą.	onion	A sharp white plant from the vegetable garden; we put it in soup.	Mama pjausto svogūną sriubai.	Mother chops an onion for the soup.	noun
svoris	Kiek kilogramų turi žmogus ar daiktas.	weight	How many kilograms a person or a thing has.	Gydytojas matuoja vaiko svorį.	The doctor measures the child's weight.	noun
sėkmė	Kai žmogus laimi ir yra labai laimingas.	success	When a person wins and is very happy.	Linkiu tau sėkmės egzamine.	I wish you success in the exam.	noun
sūris	Kietas arba minkštas maistas iš pieno; dažnai geltonas.	cheese	Hard or soft food from milk; often yellow.	Pirkau šviežio sūrio turguje.	I bought fresh cheese at the market.	noun
takas	Siauras kelias miške, kur eina žmonės.	path	A narrow road in the forest where people walk.	Einame siauru taku per mišką.	We walk on a narrow path through the forest.	noun
tamsus	Toks, kur mažai šviesos; kaip naktį.	dark	Such where there is little light; like at night.	Ji nešioja tamsius akinius.	She wears dark glasses.	adj
tapti	Pradėti būti nauju žmogumi; buvo mokinys, dabar gydytojas.	to become	To begin to be a new person; he was a pupil, now a doctor.	Ji tapo gera gydytoja.	She became a good doctor.	verb
tarnautojas	Žmogus, kuris dirba banke ar savivaldybėje.	clerk	A person who works in a bank or in the municipality.	Banko tarnautojas padeda klientams.	The bank clerk helps the clients.	noun
teisininkas	Žmogus, kuris gerai žino įstatymus.	lawyer	A person who knows the laws well.	Klausiu teisininko apie sutartį.	I ask the lawyer about the contract.	noun
tekėti	Bėgti kaip vanduo upėje.	to flow	To run like water in a river.	Upė teka pro miestą.	The river flows through the city.	verb
teta	Mamos ar tėvo sesuo.	aunt	The sister of the mother or of the father.	Vasarą važiuojame į tetos namus.	In summer we travel to the aunt's house.	noun
tikras	Toks, kuris yra tiesa; ne klaida.	true	One that is the truth; not a mistake.	Tai tikra istorija apie karą.	This is a true story about the war.	adj
tikėtis	Laukti ir galvoti, kad bus gerai.	to expect	To wait and think that it will be good.	Tikimės gero oro rytoj.	We expect good weather tomorrow.	verb
tirti	Ilgai ieškoti ir klausti apie tiesą.	to investigate	To search and ask for a long time about the truth.	Policija tiria naują reikalą.	The police investigate a new matter.	verb
toks	Žodis, kuris rodo, kad kažkas yra kaip šis.	such	A word which shows that something is like this one.	Man patinka tokia spalva.	I like such a colour.	adj
